study_id,citation,year,domain_top1,domain_top1_conf,domain_top2,domain_top2_conf,domain_top3,domain_top3_conf,region_top1,region_top1_conf,region_top2,region_top2_conf,region_top3,region_top3_conf,reliability_top1,reliability_top1_conf,reliability_top2,reliability_top2_conf,reliability_top3,reliability_top3_conf,confidence_score,notes
study_0556,"Kibaroǧlu, M",2018,Isotope Geochemistry,0.365,Radiocarbon Chronology,0.331,Archaeology,0.29,Southern Levant,0.068,Egypt,0.05,Sinai,0.026,High,0.007,Low,-0.016,Medium,-0.077,0.147,"Kibaroǧlu, M.; Kozal, E.; Klügel, A.; Hartmann, G.; Monien, P. Kibaroǧlu, Mustafa (55782645100); Kozal, Ekin (38162134800); Klügel, Andreas (6603277549); Hartmann, Gerald (7201886364); Monien, Patrick"
study_0557,"Nikulina, A",2048,Geoarchaeology,0.441,Settlement Archaeology,0.431,Historical Geography,0.416,Southern Levant,0.18,Egypt,0.129,Sinai,0.072,Low,0.02,High,0.014,Medium,-0.002,0.213,"Nikulina, A.V. Nikulina, Anastasia V. (57204878134) 57204878134 GIS-based analysis of settlement patterns for the central Baraba Lowland (Western Siberia, Russia) in relation to climatic conditions of"
study_0558,"Vejrostová, L",1866,Bioarchaeology,0.371,Paleoclimatology,0.357,Stratigraphy,0.335,Southern Levant,0.163,Egypt,0.153,Sinai,0.103,High,0.012,Low,-0.014,Medium,-0.047,0.182,"Vejrostová, L.; Lisá, L.; Parma, D.; Bajer, A.; Hajnalová, M.; Kočárová, R.; Moska, P.; Pacina, J. Vejrostová, Lenka (57186654100); Lisá, Lenka (8290818700); Parma, David (35099229200); Bajer, Aleš (3"
study_0559,"Ruka, R",2019,Archaeology,0.414,Artifact Typology,0.396,Stratigraphy,0.356,Egypt,0.135,Southern Levant,0.114,Sinai,0.084,High,0.026,Low,0.001,Medium,-0.036,0.191,"Ruka, R.; Galaty, M.L.; Riebe, D.J.; Tykot, R.H.; Gjipali, I.; Kourtessi-Philippakis, G. Ruka, Rudenc (56742236900); Galaty, Michael L. (6507932152); Riebe, Danielle J. (56044159100); Tykot, Robert H."
study_0560,"Bedelbayeva, M",2019,Archaeology,0.349,Geoarchaeology,0.344,Stratigraphy,0.339,Egypt,0.145,Southern Levant,0.103,Sinai,0.055,High,0.028,Low,-0.011,Medium,-0.034,0.174,"Bedelbayeva, M.V.; Kukushkin, I.A. Bedelbayeva, Marina Vasilyevna (57210929242); Kukushkin, Igor A. (56329387800) 57210929242; 56329387800 MASTER-HAND OF HIS CRAFT (for the anniversary of V.G. Loman) "
study_0561,"Silva, M",1916,Epigraphy,0.209,Meta-Analysis,0.19,Ceramic Analysis,0.182,Sinai,0.092,Southern Levant,0.069,Egypt,0.043,High,0.087,Low,0.057,Medium,0.045,0.13,"Silva, M.; Justeau, P.; Rodrigues, S.; Oteo-Garcia, G.; Dulias, K.; Foody, G.; Fichera, A.; Yau, B.; Rito, T.; Wilson, J.F.; Gandini, F.; Edwards, C.J.; Pala, M.; Soares, P.A.; Richards, M.B. Silva, M"
study_0562,"Ducreux, F",2019,Archaeology,0.422,Landscape Archaeology,0.392,Stratigraphy,0.38,Southern Levant,0.143,Sinai,0.106,Egypt,0.1,Medium,0.07,Low,0.014,High,-0.006,0.212,"Ducreux, F. Ducreux, Franck (56578689000) 56578689000 The Bronze C2 pottery assemblage in Mâcon Flacé, Nouvel Hôpital (Burgundy, Saône-et-Loire) and the Bronze C2/D1 transition in the middle Saône Val"
study_0563,"Asscher, Y",2019,Radiocarbon Chronology,0.528,Archaeology,0.387,Isotope Geochemistry,0.386,Southern Levant,0.336,Sinai,0.202,Egypt,0.158,High,0.042,Low,0.024,Medium,0.012,0.302,"Asscher, Y.; Boaretto, E. Asscher, Yotam (50760995000); Boaretto, Elisabetta (55549636000) 50760995000; 55549636000 Absolute time ranges in the plateau of the late bronze to iron age transition and th"
study_0564,"Isaakidou, V",1989,Comparative Mythology,0.31,Archaeology,0.303,Paleoclimatology,0.295,Southern Levant,0.159,Egypt,0.129,Sinai,0.088,High,-0.037,Medium,-0.065,Low,-0.071,0.144,"Isaakidou, V.; Styring, A.; Halstead, P.; Nitsch, E.; Stroud, E.; Le Roux, P.; Lee-Thorp, J.; Bogaard, A. Isaakidou, Valasia (6507326437); Styring, Amy K. (35198947700); Halstead, Paul (6701585548); N"
study_0565,"Koh, A",1800,Archaeology,0.409,Cognitive Archaeology,0.365,Settlement Archaeology,0.344,Egypt,0.136,Sinai,0.068,Southern Levant,0.061,Low,-0.074,High,-0.077,Medium,-0.081,0.157,"Koh, A.J.; Birney, K.J. Koh, Andrew J. (56806464800); Birney, Kathleen J. (26036031800) 56806464800; 26036031800 Ancient organic residues as cultural and environmental proxies: The value of legacy obj"
study_0566,"Avnaim-Katav, S",1925,Radiocarbon Chronology,0.33,Paleoclimatology,0.314,Stratigraphy,0.293,Southern Levant,0.293,Sinai,0.244,Egypt,0.215,High,-0.003,Medium,-0.01,Low,-0.018,0.207,"Avnaim-Katav, S.; Almogi-Labin, A.; Schneider-Mor, A.; Crouvi, O.; Burke, A.A.; Kremenetski, K.V.; MacDonald, G.M. Avnaim-Katav, Simona (55225655500); Almogi-Labin, Ahuva (7004833845); Schneider-Mor, "
study_0567,"Waddington, K",1858,Radiocarbon Chronology,0.465,Stratigraphy,0.392,Archaeology,0.392,Sinai,0.133,Southern Levant,0.097,Egypt,0.086,High,0.02,Low,0.016,Medium,-0.005,0.206,"Waddington, K.; Bayliss, A.; Higham, T.; Madgwick, R.; Sharples, N. Waddington, Kate (56153506200); Bayliss, Alex (7005185835); Higham, Thomas F.G. (7003799879); Madgwick, Richard (45161754500); Sharp"
study_0568,"Gandois, H",2019,Stratigraphy,0.369,Artifact Typology,0.331,Epigraphy,0.328,Southern Levant,0.092,Sinai,0.026,Egypt,0.008,High,0.059,Low,0.043,Medium,-0.005,0.173,"Gandois, H.; Marcigny, C.; Cécile, L.C.d.V. Gandois, Henri (56108728200); Marcigny, Cyril (24381625600); Cécile, Le Carlier De Veslud (59542987300) 56108728200; 24381625600; 59542987300 The bois de l'"
study_0569,"Chizhevsky Andrei, A",1800,Paleoclimatology,0.28,Isotope Geochemistry,0.276,Stratigraphy,0.229,Sinai,0.155,Egypt,0.143,Southern Levant,0.044,High,0.023,Low,-0.013,Medium,-0.051,0.153,"Chizhevsky Andrei, A.; Galimova Madina, Sh.; Gubaidullin Antonina, V. Chizhevsky Andrei, A. (58159951700); Galimova Madina, Sh (57316385400); Gubaidullin Antonina, V. (58159951800) 58159951700; 573163"
study_0571,"Bachhuber, C",2019,Settlement Archaeology,0.242,Radiocarbon Chronology,0.233,Artifact Typology,0.231,Sinai,0.098,Southern Levant,0.094,Egypt,0.091,Medium,0.144,High,0.102,Low,0.088,0.161,"Bachhuber, C. Bachhuber, Christoph (35177150000) 35177150000 Shipwrecks 2019 2 1091 1106 0 10.1002/9781118769966.ch45 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131212521&doi=10.1002%2F9781"
study_0570,"Aquilano, M",1944,Archaeology,0.345,Geoarchaeology,0.339,Stratigraphy,0.336,Southern Levant,0.182,Egypt,0.169,Sinai,0.151,Medium,0.122,High,0.078,Low,0.07,0.216,"Aquilano, M.; Gavagnin, K.; Gervasi, L. Aquilano, Marta (59163509100); Gavagnin, Katia (57194436181); Gervasi, Livia (59162598200) 59163509100; 57194436181; 59162598200 Hearths and fire installations "
study_0572,"Lemos, I",2019,Archaeology,0.482,Landscape Archaeology,0.378,Settlement Archaeology,0.376,Sinai,0.269,Southern Levant,0.243,Egypt,0.237,Medium,-0.0,High,-0.025,Low,-0.051,0.25,"Lemos, I.S.; Kotsonas, A. Lemos, Irene S. (6506047198); Kotsonas, Antonis (12807260900) 6506047198; 12807260900 A Companion to the Archaeology of Early Greece and the Mediterranean 2019 1 1386 0 10.10"
study_0573,"Dickinson, O",1854,Archaeology,0.53,Settlement Archaeology,0.513,Landscape Archaeology,0.436,Southern Levant,0.165,Egypt,0.104,Sinai,0.056,High,-0.014,Low,-0.06,Medium,-0.062,0.227,"Dickinson, O.T.P.K. Dickinson, Oliver T.P.K. (55185461700) 55185461700 Evidence from Archaeology 2019 1 33 54 0 10.1002/9781118769966.ch2 https://www.scopus.com/inward/record.uri?eid=2-s2.0-8513118265"
study_0574,"Lloyd, M",2043,Settlement Archaeology,0.388,Archaeology,0.296,Landscape Archaeology,0.29,Southern Levant,0.01,Egypt,0.005,Sinai,-0.013,High,0.04,Low,0.032,Medium,0.021,0.146,"Lloyd, M. Lloyd, Matthew (57204349451) 57204349451 Weapons 2019 1 499 522 0 10.1002/9781118769966.ch19 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131173034&doi=10.1002%2F9781118769966.ch19&"
study_0575,"Lemos, I",2019,Anthropology,0.274,Meta-Analysis,0.254,Comparative Literature,0.248,Southern Levant,0.146,Egypt,0.132,Sinai,0.126,Medium,0.142,High,0.077,Low,0.054,0.187,"Lemos, I.S. Lemos, Irene S. (6506047198) 6506047198 Euboea 2019 2 787 814 0 10.1002/9781118769966.ch32 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131169861&doi=10.1002%2F9781118769966.ch32&"
study_0576,"Otto, A",2019,Radiocarbon Chronology,0.291,Epigraphy,0.276,Archaeology,0.261,Sinai,0.1,Egypt,0.078,Southern Levant,0.061,High,0.076,Low,0.05,Medium,-0.008,0.156,"Otto, A.; Einwag, B. Otto, Adelheid (53563945100); Einwag, Berthold (53563168500) 53563945100; 53563168500 Three ritual vessels from the Mittani-period temple at Tell Bazi 2019 503 517 0 https://www.s"
study_0577,"Iskra, M",1909,Archaeology,0.376,Radiocarbon Chronology,0.333,Settlement Archaeology,0.298,Egypt,0.165,Southern Levant,0.111,Sinai,0.084,Medium,0.058,Low,-0.002,High,-0.055,0.2,"Iskra, M. Iskra, Mateusz (57190948252) 57190948252 Archaeological and social contexts of late Bronze Age cylinder seals from transcaucasia 2019 259 269 0 https://www.scopus.com/inward/record.uri?eid=2"
study_0578,"Luciani, M",2019,Archaeology,0.379,Radiocarbon Chronology,0.349,Paleoclimatology,0.33,Sinai,0.194,Egypt,0.188,Southern Levant,0.171,Medium,0.049,High,-0.032,Low,-0.046,0.207,"Luciani, M. Luciani, Marta (38162247800) 38162247800 The long life of a royal seal and the Nuzi bullae in the Harvard Semitic Museum 2019 355 391 0 https://www.scopus.com/inward/record.uri?eid=2-s2.0-"
study_0579,"Zych, I",2019,Zooarchaeology,0.339,Anthropology,0.31,Cognitive Archaeology,0.288,Egypt,0.137,Southern Levant,0.036,Sinai,0.026,High,0.047,Low,0.022,Medium,0.02,0.175,"Zych, I. Zych, Iwona (57360252600) 57360252600 Note on snake ritual in Saruq al-Hadid 2019 777 791 0 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120659440&partnerID=40&md5=e6d2189ee73c648cd3"
study_0580,"Steele, P",2019,Comparative Literature,0.348,Philology,0.302,Digital Humanities,0.294,Southern Levant,0.089,Sinai,0.037,Egypt,0.029,Medium,0.165,Low,0.063,High,0.048,0.201,"Steele, P.M. Steele, Philippa M. (56527867400) 56527867400 Script and Literacy 2019 1 247 270 0 10.1002/9781118769966.ch10 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113608116&doi=10.1002%2"
study_0581,"Kotsonas, A",2019,Meta-Analysis,0.327,Comparative Literature,0.273,Anthropology,0.232,Sinai,0.066,Southern Levant,0.019,Egypt,0.015,Medium,0.061,High,-0.011,Low,-0.055,0.151,"Kotsonas, A. Kotsonas, Antonis (12807260900) 12807260900 History of Research 2019 1 75 96 0 10.1002/9781118769966.ch4 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108701375&doi=10.1002%2F9781"
study_0582,"Şerifoǧlu, T",2019,Archaeology,0.431,Settlement Archaeology,0.428,Landscape Archaeology,0.377,Southern Levant,0.174,Egypt,0.171,Sinai,0.062,Low,0.05,Medium,0.043,High,0.004,0.218,"Şerifoǧlu, T.E. Şerifoǧlu, Tevfik Emre (53564593500) 53564593500 Kilise Tepe in Rough Cilicia before the Late Bronze Age: An Overview of the Architecture, Pottery Traditions, and Cultural Contacts 201"
study_0583,"Caloi, I",2019,Archaeology,0.439,Cognitive Archaeology,0.405,Landscape Archaeology,0.397,Egypt,0.173,Southern Levant,0.123,Sinai,0.085,High,0.036,Medium,-0.024,Low,-0.036,0.216,"Caloi, I. Caloi, Ilaria (36695866200) 36695866200 Breaking with tradition? The adoption of the wheel-throwing technique at protopalatial phaistos: combining macroscopic analysis, experimental archaeol"
study_0584,"Ložnjak, D",2018,Archaeology,0.38,Settlement Archaeology,0.313,Stratigraphy,0.302,Southern Levant,0.283,Sinai,0.215,Egypt,0.202,Medium,0.052,High,0.029,Low,0.024,0.238,"Ložnjak, D.L.; Dizdar, M.; Mihaljevic, M. Ložnjak, Daria (55503878400); Dizdar, Marko (14026652400); Mihaljevic, Marija (55505895800) 55503878400; 14026652400; 55505895800 Dolina babine grede – Resear"
study_0585,"Karavanić, S",2017,Archaeology,0.512,Settlement Archaeology,0.449,Landscape Archaeology,0.401,Southern Levant,0.184,Egypt,0.154,Sinai,0.129,High,-0.02,Medium,-0.054,Low,-0.061,0.225,"Karavanić, S.; Kudelić, A. Karavanić, Snježana (55274108800); Kudelić, Andreja (55530799400) 55274108800; 55530799400 Kalnik – Igrišče – results of archaeological excavations in 2017 and 2018; Kalnik "
study_0586,"Guba, S",2019,Archaeology,0.475,Landscape Archaeology,0.383,Cognitive Archaeology,0.373,Egypt,0.213,Southern Levant,0.197,Sinai,0.11,High,0.001,Medium,-0.038,Low,-0.043,0.23,"Guba, S.; Tankó, K. Guba, Szilvia (57216810863); Tankó, Károly (26031766100) 57216810863; 26031766100 The eponymous archaeological site at Piliny; Der eponyme FunDplatz von piliny 2019 Studijne Zvesti"
study_0587,"Parcero-Oubiña, C",2092,Radiocarbon Chronology,0.326,Isotope Geochemistry,0.313,Paleoclimatology,0.303,Southern Levant,0.23,Sinai,0.176,Egypt,0.159,Medium,0.041,Low,0.01,High,-0.011,0.199,"Parcero-Oubiña, C.; Armada, X.-L.; Nión-Álvarez, S.; González Insua, F. Parcero-Oubiña, César (26632092700); Armada, Xosé Lois (36164959600); Nión-Álvarez, Samuel (57221314533); González Insua, Félix "
study_0588,"Knight, M",2002,Archaeology,0.353,Stratigraphy,0.326,Paleography,0.31,Southern Levant,0.07,Egypt,0.017,Sinai,0.008,High,0.031,Low,0.007,Medium,-0.0,0.151,"Knight, M.G. Knight, Matthew G. (57220028202) 57220028202 Going to pieces: Investigating the deliberate destruction of Late Bronze Age swords and spearheads; Tomber en morceaux: investigation de la de"
study_0589,"Stantis, C",1896,Bioarchaeology,0.476,Paleoclimatology,0.457,Zooarchaeology,0.425,Egypt,0.29,Southern Levant,0.222,Sinai,0.189,Medium,-0.015,Low,-0.052,High,-0.058,0.25,"Stantis, C.; Nowell, G.M.; Prell, S.; Schutkowski, H. Stantis, Christina (55387946600); Nowell, Geoff M. (6701896478); Prell, Silvia (57190955426); Schutkowski, Holger (6701906311) 55387946600; 670189"
study_0590,"Chvojka, O",1900,Archaeology,0.427,Settlement Archaeology,0.393,Landscape Archaeology,0.372,Southern Levant,0.166,Egypt,0.139,Sinai,0.078,Medium,0.101,Low,0.054,High,0.046,0.231,"Chvojka, O.; Menšík, P.; Šálková, T.; Kuna, M. Chvojka, Ondřej (26631900100); Menšík, Petr (36061090200); Šálková, Tereza (55956732000); Kuna, Martin (26632023200) 26631900100; 36061090200; 5595673200"
study_0591,"Kaupová, S",2019,Paleoclimatology,0.396,Paleography,0.353,Bioarchaeology,0.342,Southern Levant,0.203,Egypt,0.147,Sinai,0.086,Medium,0.04,High,0.011,Low,0.007,0.213,"Kaupová, S.D.; Salaš, M.; Jarošová, I.; Rebay-Salisbury, K.; Rendl, B.; Kanz, F. Kaupová, Sylva (55940830700); Salaš, Milan (36070087000); Jarošová, Ivana (35096175200); Rebay-Salisbury, Katharina (26"
study_0592,"Zachar, T",2076,Radiocarbon Chronology,0.299,Isotope Geochemistry,0.285,Ceramic Analysis,0.283,Egypt,0.111,Southern Levant,0.08,Sinai,0.014,Medium,0.029,Low,-0.006,High,-0.007,0.146,"Zachar, T.; Salaš, M. Zachar, Tomáš (57207623503); Salaš, Milan (36070087000) 57207623503; 36070087000 Contribution to the issues of the distribution of copper from central Slovakia in Moravia in Late"
study_0593,"Efkleidou, K",2019,Archaeology,0.476,Historical Geography,0.387,Settlement Archaeology,0.385,Egypt,0.242,Sinai,0.199,Southern Levant,0.196,High,0.02,Low,0.0,Medium,-0.051,0.246,"Efkleidou, K. Efkleidou, Kalliopi (26033336900) 26033336900 Walking your Way to Death. Exploring the Relation between the Location of Mycenaean Chamber Tombs and Roads in the Argolid 2019 Open Archaeo"
study_0594,"Ilyushina, V",2019,Ceramic Analysis,0.399,Archaeology,0.324,Settlement Archaeology,0.304,Egypt,0.148,Southern Levant,0.067,Sinai,-0.011,High,0.042,Low,0.037,Medium,0.035,0.196,"Ilyushina, V.V. Ilyushina, V. V. (56458791000) 56458791000 POTTERY-making technology used by Alakul and Fedorovo groups of the Bochantsevo-1 settlement 2019 Vestnik Archeologii, Antropologii i Etnogra"
study_0595,"Mühlenbruch, T",2019,Radiocarbon Chronology,0.419,Archaeology,0.418,Settlement Archaeology,0.394,Southern Levant,0.182,Egypt,0.091,Sinai,0.083,Medium,-0.022,Low,-0.035,High,-0.037,0.193,"Mühlenbruch, T. Mühlenbruch, Tobias (55789506185) 55789506185 ""Mycenaeans"" and Hittites - An archeological comparison; ""Mykener"" und Hethiter - ein archäologischer Vergleich 2019 Praehistorische Zeits"
study_0596,"Lyganov, A",1943,Archaeology,0.492,Landscape Archaeology,0.431,Stratigraphy,0.425,Southern Levant,0.18,Egypt,0.167,Sinai,0.136,Medium,0.019,High,0.014,Low,-0.013,0.23,"Lyganov, A.V. Lyganov, A. V. (57194326310) 57194326310 Kurmanakovo IV site of the final eneolithic and late bronze age in the lower reaches of the mesha river (preliminary study results) 2019 Povolzhs"
study_0597,"Chizhevsky Andrei, A",1943,Archaeology,0.396,Bioarchaeology,0.343,Stratigraphy,0.338,Egypt,0.242,Sinai,0.169,Southern Levant,0.132,High,0.066,Low,0.029,Medium,0.002,0.235,"Chizhevsky Andrei, A.; Lyganov, A.V.; Kuzminykh Sergei, V. Chizhevsky Andrei, A. (58159951700); Lyganov, A. V. (57194326310); Kuzminykh Sergei, V. (58160248600) 58159951700; 57194326310; 58160248600 E"
study_0598,"Kostomarova, Y",1916,Isotope Geochemistry,0.377,Paleoclimatology,0.318,Stratigraphy,0.313,Southern Levant,0.064,Egypt,0.055,Sinai,-0.011,Medium,0.113,Low,0.078,High,0.068,0.185,"Kostomarova, Y.V. Kostomarova, Yu V. (57191634482) 57191634482 Reconstruction of main elements economy of the Cherkaskul population of the late Bronze age in the forest-steppe tobol region 2019 Povolz"
study_0599,"Bueno Ramírez, P",2019,Bioarchaeology,0.194,Paleoclimatology,0.189,Stratigraphy,0.174,Southern Levant,0.155,Egypt,0.153,Sinai,0.11,Medium,0.073,High,0.041,Low,0.028,0.14,"Bueno Ramírez, P.B.; Barroso, R.B.; de Balbín-Behrmann, R.; Salvado, P. Bueno Ramírez, Primitiva (10641031600); Barroso, Rosa (10639346600); de Balbín-Behrmann, Rodrigo (56505446400); Salvado, Pedro ("
study_0600,"Chechushkov, I",2027,Stratigraphy,0.447,Geoarchaeology,0.361,Archaeology,0.329,Egypt,0.181,Sinai,0.165,Southern Levant,0.117,Low,0.038,High,0.017,Medium,-0.048,0.222,"Chechushkov, I.V.; Yakimov, A.S.; Dakovic, G. Chechushkov, I. V. (55151581300); Yakimov, Aharon S. (7004269187); Dakovic, Gligor (57202794244) 55151581300; 7004269187; 57202794244 Towards the archaeol"
study_0601,"Ronowska, E",2019,Archaeology,0.501,Settlement Archaeology,0.418,Landscape Archaeology,0.407,Southern Levant,0.254,Egypt,0.198,Sinai,0.181,High,0.008,Low,-0.054,Medium,-0.083,0.254,"Ronowska, E. Ronowska, Ewa (57211713113) 57211713113 Biblical megiddo in the light of results of archaeological research,biblijne megiddo w swietle rezultatów badan archeologicznych 2019 Collectanea T"
study_0602,"Hogue, T",2018,Paleoclimatology,0.282,Zooarchaeology,0.269,Cognitive Archaeology,0.249,Sinai,0.484,Southern Levant,0.327,Egypt,0.244,High,0.014,Medium,-0.027,Low,-0.031,0.26,"Hogue, T. Hogue, Timothy (57201895266) 57201895266 The monumentality of the sinaitic decalogue: Reading Exodus 20 in light of Northwest Semitic monument-making practices 2019 Journal of Biblical Liter"
study_0603,"Bertrand, F",2009,Stratigraphy,0.388,Geoarchaeology,0.387,Paleoclimatology,0.374,Southern Levant,0.221,Sinai,0.181,Egypt,0.112,Medium,0.081,Low,0.072,High,0.037,0.23,"Bertrand, F.; Verdin, F.; Eynaud, F.; Arnaud-Fassetta, G.; Stéphan, P.; Costa, S.; Suanez, S. Bertrand, Frédéric (25635465200); Verdin, Florence (57200983597); Eynaud, Frédérique (9038110500); Arnaud-"
study_0604,"Estarellas, B",2095,Isotope Geochemistry,0.429,Radiocarbon Chronology,0.335,Ceramic Analysis,0.311,Southern Levant,0.054,Egypt,0.022,Sinai,0.005,Low,-0.026,High,-0.036,Medium,-0.044,0.152,"Estarellas, B.L.; Mateo, L.P.; Ayuso, V.M.G.; Fullola, J.M.F.; I Mendizàbal, M.À.P.; Calvo-Trias, M.C. Estarellas, Bartomeu Llull (57209506508); Mateo, Laura Perelló (57209501830); Ayuso, Víctor M.Gue"
study_0605,"Grigoriev, S",2019,Archaeology,0.414,Stratigraphy,0.382,Paleography,0.38,Southern Levant,0.182,Egypt,0.153,Sinai,0.093,Medium,0.043,High,0.027,Low,0.011,0.213,"Grigoriev, S.A. Grigoriev, Stanislav A. (36971467300) 36971467300 STR Atigr aphy of the bronze age settlement of mochishche in the southern Tr ans-ur als; СТРАТИГРАФИЯ ПОСЕЛЕНИЯ ЭПОХИ БРОНЗЫ МОЧИЩЕ В "
study_0606,"Ivanov, V",2085,Radiocarbon Chronology,0.334,Ceramic Analysis,0.327,Isotope Geochemistry,0.31,Southern Levant,0.107,Egypt,0.057,Sinai,-0.009,Medium,-0.019,Low,-0.025,High,-0.061,0.141,"Ivanov, V.A.; Chichko, T.V. Ivanov, Vladimir Aleksandrovich (56612649600); Chichko, T. V. (57208524192) 56612649600; 57208524192 Statistical and typological analysis of pottery from the settlements of"
study_0607,"Sotnikova, S",2085,Archaeology,0.452,Stratigraphy,0.421,Paleography,0.394,Egypt,0.149,Sinai,0.111,Southern Levant,0.094,Low,0.045,Medium,0.025,High,0.019,0.215,"Sotnikova, S.V. Sotnikova, Svetlana V. (57208532440) 57208532440 Warrior burials of the later Bronze Age with sets of Astragals: Problem of interpretation; ВОИНСКИЕ ПОГРЕБЕНИЯ ЭПОХИ ПОЗДНЕЙ БРОНЗЫ С Н"
study_0608,"Khokhlov, A",1894,Stratigraphy,0.313,Radiocarbon Chronology,0.297,Paleoclimatology,0.292,Sinai,0.112,Egypt,0.094,Southern Levant,0.078,Medium,-0.044,Low,-0.048,High,-0.05,0.127,"Khokhlov, A.A.; Kitov, E.P. Khokhlov, Alexandr A. (56688165600); Kitov, E. P. (57189446078) 56688165600; 57189446078 Origins of the physical appearance of the Sintashta circle of cultures people of th"
study_0609,"Cavazzuti, C",2046,Isotope Geochemistry,0.37,Paleoclimatology,0.36,Radiocarbon Chronology,0.338,Egypt,0.196,Southern Levant,0.178,Sinai,0.123,High,0.031,Low,-0.007,Medium,-0.058,0.199,"Cavazzuti, C.; Skeates, R.; Millard, A.R.; Nowell, G.M.; Peterkin, J.; Brea, M.B.; Cardarelli, A.; Salzani, L. Cavazzuti, Claudio (57204610941); Skeates, Robin (8741035400); Millard, Andrew R. (700508"
study_0610,"Liritzis, I",1857,Archaeology,0.45,Settlement Archaeology,0.443,Radiocarbon Chronology,0.361,Southern Levant,0.202,Egypt,0.174,Sinai,0.107,Medium,0.02,High,0.01,Low,0.002,0.224,"Liritzis, I.; Polymeris, G.S.; Vafiadou, A.; Sideris, A.; Levy, T.E. Liritzis, Ioannis (7003918573); Polymeris, Georgios S. (12762153500); Vafiadou, Asimina (17344537300); Sideris, Athanasios (5594378"
study_0612,"Herrscher, E",2059,Epigraphy,0.271,Stratigraphy,0.224,Paleography,0.221,Southern Levant,0.128,Egypt,0.124,Sinai,0.12,Low,0.112,High,0.105,Medium,0.101,0.17,"Herrscher, E.; Poulmarc'h, M.; Pecqueur, L.; Jovenet, E.; Benecke, N.; Decaix, A.; Lyonnet, B.; Guliyev, F.; André, G. Herrscher, Estelle (6506873903); Poulmarc'h, Modwene (55552571000); Pecqueur, Lau"
study_0611,"Cahail, K",1947,Archaeology,0.467,Settlement Archaeology,0.413,Cognitive Archaeology,0.375,Egypt,0.5,Sinai,0.324,Southern Levant,0.3,Low,-0.031,High,-0.032,Medium,-0.04,0.312,"Cahail, K.M. Cahail, Kevin M. (57194714154) 57194714154 THE EARLIEST ATTESTATION OF THE LATE EGYPTIAN tw=j ḥr sḏm CONSTRUCTION IN THE SECOND INTERMEDIATE PERIOD TOMB OF SENEB-KAY AT SOUTH ABYDOS: EVID"
study_0613,"Sisma-Ventura, S",2039,Radiocarbon Chronology,0.406,Isotope Geochemistry,0.32,Archaeology,0.264,Sinai,0.208,Southern Levant,0.194,Egypt,0.181,Medium,-0.034,High,-0.037,Low,-0.038,0.193,"Sisma-Ventura, S.-V.; Tütken, T.; Irit, Z.; Andreas, P.; Sivan, S.; Omri, L.; Gilboa, G.; Bar-Oz, B.-O. Sisma-Ventura, Guy (26653739200); Tütken, Thomas (24450985700); Irit, Zohar (57203938149); Andre"
study_0615,"Orlando, L",2018,Geoarchaeology,0.418,Settlement Archaeology,0.376,Bioarchaeology,0.375,Southern Levant,0.196,Egypt,0.153,Sinai,0.054,Medium,0.014,Low,-0.001,High,-0.001,0.209,"Orlando, L. Orlando, Ludovic A.A. (7006472586) 7006472586 Late Bronze Age cultural origins of dairy pastoralism in Mongolia 2018 Proceedings of the National Academy of Sciences of the United States of"
study_0614,"Seitsonen, O",1970,Archaeology,0.458,Landscape Archaeology,0.454,Geoarchaeology,0.401,Southern Levant,0.196,Egypt,0.177,Sinai,0.069,High,0.042,Low,0.002,Medium,-0.021,0.232,"Seitsonen, O.; Houle, J.-L.; Broderick, L.G.; Woodley, P.; Bayarsaikhan, J. Seitsonen, Oula Ilari (16067611400); Houle, Jean Luc (56463719700); Broderick, Lee G. (55917388500); Woodley, Peter (5720054"
study_0616,"Jeong, C",2048,Meta-Analysis,0.241,Epigraphy,0.202,Archaeology,0.192,Sinai,0.104,Southern Levant,0.061,Egypt,0.039,High,0.053,Low,0.042,Medium,0.039,0.132,"Jeong, C.; Wilkin, S.; Amgalantugs, T.; Bouwman, A.S.; Taylor, W.T.T.; Hagan, R.W.; Bromage, S.; Tsolmon, S.; Trachsel, C.; Grossmann, J.; Littleton, J.; Makarewicz, C.A.; Krigbaum, J.; Burri, M.; Sco"
study_0617,"Smith, R",2018,Isotope Geochemistry,0.173,Ceramic Analysis,0.164,Meta-Analysis,0.161,Sinai,0.04,Egypt,0.038,Southern Levant,-0.046,High,0.029,Low,0.006,Medium,-0.049,0.081,"Smith, R.K.; Stacey, R.J.; Bergström, E.; Thomas-Oates, J. Smith, Rachel K. (57212994747); Stacey, Rebecca J. (13105479200); Bergström, Edmund T. (7007037117); Thomas-Oates, Jane E. (7006028279) 57212"
